0:0:0:0:0:0:0:1 - - [30/May/2022:15:22:49 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:23:09 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [30/May/2022:15:23:38 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:24:04 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [30/May/2022:15:28:26 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [30/May/2022:15:31:17 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [30/May/2022:15:31:17 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:32:33 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [30/May/2022:15:34:08 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [30/May/2022:15:35:30 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [30/May/2022:15:39:02 +0900] "GET /Lecture-Web/Jquery/html02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:39:36 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [30/May/2022:15:40:37 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [30/May/2022:15:40:37 +0900] "GET /Lecture-Web/Jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:43:32 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:44:00 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [30/May/2022:15:45:25 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [30/May/2022:15:47:08 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [30/May/2022:15:47:09 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:47:11 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2022:15:47:19 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [30/May/2022:15:47:43 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [30/May/2022:15:52:09 +0900] "GET /Lecture-Web/Jquery/html03.html HTTP/1.1" 200 681
